model,clip,metric,best,final,secondary_metric,best_secondary,final_secondary,matched_iou_mean,unmatched_rate_mean,center_shift_norm_mean,area_log_ratio_abs_mean,score_delta_abs_mean,detections_per_frame,train_time,train_time_hms_mean,trainable_params,trainable_ratio,seeds,n,best_rtdetr_coco_ap,final_rtdetr_coco_ap,best_rtdetr_coco_ap50,final_rtdetr_coco_ap50,best_rtdetr_coco_ap75,final_rtdetr_coco_ap75,best_rtdetr_coco_ap_small,final_rtdetr_coco_ap_small,best_rtdetr_coco_ap_medium,final_rtdetr_coco_ap_medium,best_rtdetr_coco_ap_large,final_rtdetr_coco_ap_large,best_yolo_metrics_map50_95_b,final_yolo_metrics_map50_95_b,best_yolo_metrics_map50_b,final_yolo_metrics_map50_b,best_yolo_metrics_precision_b,final_yolo_metrics_precision_b,best_yolo_metrics_recall_b,final_yolo_metrics_recall_b
RT-DETRv2-S,T1_offline,AP,0.3227 +/- 0.0000 (n=1),0.2262 +/- 0.0000 (n=1),AP50,0.4069 +/- 0.0000 (n=1),0.2758 +/- 0.0000 (n=1),0.7524,0.3736,0.01736,0.1526,0.0807,7.9767,2063.0 +/- 0.0 (n=1),0:34:23,24632 (n=1),0.001222 +/- 0.000000 (n=1),0,1,0.322656,0.226202,0.406901,0.275834,0.354755,0.236119,0.191157,0.053878,0.341632,0.110009,0.366133,0.287641,,,,,,,,
RT-DETRv2-S,T3_offline,AP,0.3173 +/- 0.0000 (n=1),0.2339 +/- 0.0000 (n=1),AP50,0.3903 +/- 0.0000 (n=1),0.3001 +/- 0.0000 (n=1),0.7390,0.3938,0.01650,0.1557,0.0854,9.5930,3657.0 +/- 0.0 (n=1),1:00:57,24632 (n=1),0.001222 +/- 0.000000 (n=1),0,1,0.317309,0.233897,0.390334,0.300069,0.332454,0.241518,0.182905,0.055343,0.351661,0.227865,0.368683,0.292360,,,,,,,,
RT-DETRv2-S,T5_offline,AP,0.3287 +/- 0.0000 (n=1),0.2649 +/- 0.0000 (n=1),AP50,0.4089 +/- 0.0000 (n=1),0.3314 +/- 0.0000 (n=1),0.7757,0.3341,0.01595,0.1239,0.0667,6.6640,5431.0 +/- 0.0 (n=1),1:30:31,24632 (n=1),0.001222 +/- 0.000000 (n=1),0,1,0.328654,0.264925,0.408862,0.331429,0.358418,0.284441,0.169567,0.077385,0.342486,0.283813,0.380479,0.321163,,,,,,,,
RT-DETRv2-S,T7_offline,AP,0.3232 +/- 0.0000 (n=1),0.2483 +/- 0.0000 (n=1),AP50,0.4014 +/- 0.0000 (n=1),0.3156 +/- 0.0000 (n=1),0.7837,0.3262,0.01602,0.1220,0.0685,6.4512,7166.0 +/- 0.0 (n=1),1:59:26,24632 (n=1),0.001222 +/- 0.000000 (n=1),0,1,0.323219,0.248313,0.401394,0.315603,0.342732,0.256788,0.173849,0.076226,0.331566,0.286983,0.366112,0.290391,,,,,,,,
RT-DETRv2-S,T5_causal,AP,0.3268 +/- 0.0000 (n=1),0.2353 +/- 0.0000 (n=1),AP50,0.4091 +/- 0.0000 (n=1),0.2935 +/- 0.0000 (n=1),0.7665,0.3316,0.01602,0.1320,0.0682,7.1593,5356.0 +/- 0.0 (n=1),1:29:16,24632 (n=1),0.001222 +/- 0.000000 (n=1),0,1,0.326830,0.235331,0.409075,0.293475,0.349646,0.243355,0.173548,0.061521,0.341647,0.168340,0.373416,0.298620,,,,,,,,
YOLOv8m,T1_offline,mAP50-95,0.3978 +/- 0.0000 (n=1),0.3967 +/- 0.0000 (n=1),mAP50,0.4871 +/- 0.0000 (n=1),0.4869 +/- 0.0000 (n=1),0.7549,0.2834,0.01284,0.0950,0.0893,1.4407,995.4 +/- 0.0 (n=1),0:16:35,24800 (n=1),0.000957 +/- 0.000000 (n=1),0,1,,,,,,,,,,,,,0.397820,0.396720,0.487090,0.486870,0.556770,0.572350,0.407170,0.408550
YOLOv8m,T3_offline,mAP50-95,0.3979 +/- 0.0000 (n=1),0.3961 +/- 0.0000 (n=1),mAP50,0.4874 +/- 0.0000 (n=1),0.4857 +/- 0.0000 (n=1),0.7538,0.2869,0.01293,0.0958,0.0858,1.4128,1150.3 +/- 0.0 (n=1),0:19:10,24800 (n=1),0.000957 +/- 0.000000 (n=1),0,1,,,,,,,,,,,,,0.397900,0.396090,0.487450,0.485680,0.607830,0.618440,0.404980,0.404790
YOLOv8m,T5_offline,mAP50-95,0.3977 +/- 0.0000 (n=1),0.3954 +/- 0.0000 (n=1),mAP50,0.4872 +/- 0.0000 (n=1),0.4850 +/- 0.0000 (n=1),0.7538,0.2890,0.01292,0.0957,0.0856,1.4151,1585.9 +/- 0.0 (n=1),0:26:26,24800 (n=1),0.000957 +/- 0.000000 (n=1),0,1,,,,,,,,,,,,,0.397680,0.395390,0.487240,0.485030,0.608730,0.619650,0.405010,0.404440
YOLOv8m,T7_offline,mAP50-95,0.3980 +/- 0.0000 (n=1),0.3954 +/- 0.0000 (n=1),mAP50,0.4874 +/- 0.0000 (n=1),0.4850 +/- 0.0000 (n=1),0.7538,0.2879,0.01292,0.0957,0.0857,1.4140,1940.9 +/- 0.0 (n=1),0:32:21,24800 (n=1),0.000957 +/- 0.000000 (n=1),0,1,,,,,,,,,,,,,0.398010,0.395380,0.487400,0.484960,0.608990,0.619850,0.405070,0.404830
YOLOv8m,T5_causal,mAP50-95,0.3974 +/- 0.0000 (n=1),0.3948 +/- 0.0000 (n=1),mAP50,0.4870 +/- 0.0000 (n=1),0.4850 +/- 0.0000 (n=1),0.7534,0.2877,0.01294,0.0955,0.0854,1.4093,1523.8 +/- 0.0 (n=1),0:25:24,24800 (n=1),0.000957 +/- 0.000000 (n=1),0,1,,,,,,,,,,,,,0.397440,0.394850,0.487020,0.485050,0.611600,0.621750,0.405090,0.402940
