experiment_id,model_family,tuning_mode,budget,clip,seed,status,primary_metric,secondary_metric,best_epoch,best_primary,best_secondary,final_epoch,final_primary,final_secondary,train_time_sec,run_dir,missing_reason
youtube_vis_yolo_temporal_head_only_medium_t1_offline_seed0_head_warmup_e5,yolo_temporal,head_only,medium,T1_offline,0,,mAP50-95,mAP50,5,0.39786,0.48638,5,0.39786,0.48638,512.658,outputs/runs/youtube_vis_yolo_temporal_head_only_medium_t1_offline_seed0_head_warmup_e5,
youtube_vis_rtdetr_temporal_head_only_medium_t1_offline_seed0_head_warmup_e5,rtdetr_temporal,head_only,medium,T1_offline,0,,AP,AP50,3,0.31180563662163835,0.3894048348280784,4,0.30712718767892583,0.38630520252349565,,outputs/runs/youtube_vis_rtdetr_temporal_head_only_medium_t1_offline_seed0_head_warmup_e5,
youtube_vis_yolo_temporal_head_only_medium_t1_offline_seed1_head_warmup_e5,yolo_temporal,head_only,medium,T1_offline,1,,mAP50-95,mAP50,5,0.40723,0.50332,5,0.40723,0.50332,530.462,outputs/runs/youtube_vis_yolo_temporal_head_only_medium_t1_offline_seed1_head_warmup_e5,
youtube_vis_rtdetr_temporal_head_only_medium_t1_offline_seed1_head_warmup_e5,rtdetr_temporal,head_only,medium,T1_offline,1,,AP,AP50,3,0.33565162716118385,0.4188174526980616,4,0.30336684544865344,0.3866425678020332,,outputs/runs/youtube_vis_rtdetr_temporal_head_only_medium_t1_offline_seed1_head_warmup_e5,
youtube_vis_yolo_temporal_head_only_medium_t1_offline_seed2_head_warmup_e5,yolo_temporal,head_only,medium,T1_offline,2,,mAP50-95,mAP50,3,0.38429,0.4801,5,0.37797,0.47638,532.182,outputs/runs/youtube_vis_yolo_temporal_head_only_medium_t1_offline_seed2_head_warmup_e5,
youtube_vis_rtdetr_temporal_head_only_medium_t1_offline_seed2_head_warmup_e5,rtdetr_temporal,head_only,medium,T1_offline,2,,AP,AP50,4,0.32467432336876195,0.41620793486183655,4,0.32467432336876195,0.41620793486183655,,outputs/runs/youtube_vis_rtdetr_temporal_head_only_medium_t1_offline_seed2_head_warmup_e5,
youtube_vis_yolo_temporal_spatial_only_full_ft_medium_t1_offline_seed0_main_stable_e5,yolo_temporal,spatial_only_full_ft,medium,T1_offline,0,,mAP50-95,mAP50,5,0.40216,0.49834,5,0.40216,0.49834,1529.77,outputs/runs/youtube_vis_yolo_temporal_spatial_only_full_ft_medium_t1_offline_seed0_main_stable_e5,
youtube_vis_yolo_temporal_spatial_temporal_peft_medium_t5_offline_seed0_main_stable_e5,yolo_temporal,spatial_temporal_peft,medium,T5_offline,0,,mAP50-95,mAP50,1,0.39768,0.48724,5,0.39539,0.48503,1585.93,outputs/runs/youtube_vis_yolo_temporal_spatial_temporal_peft_medium_t5_offline_seed0_main_stable_e5,
youtube_vis_rtdetr_temporal_spatial_only_full_ft_medium_t1_offline_seed0_main_stable_e5,rtdetr_temporal,spatial_only_full_ft,medium,T1_offline,0,,AP,AP50,2,0.3821242553382286,0.4761882646829567,4,0.32389391360579756,0.3835396819277091,,outputs/runs/youtube_vis_rtdetr_temporal_spatial_only_full_ft_medium_t1_offline_seed0_main_stable_e5,
youtube_vis_rtdetr_temporal_spatial_temporal_peft_medium_t5_offline_seed0_main_stable_e5,rtdetr_temporal,spatial_temporal_peft,medium,T5_offline,0,,AP,AP50,0,0.3286544101263102,0.4088616884109743,4,0.2649249556545136,0.3314288080452203,,outputs/runs/youtube_vis_rtdetr_temporal_spatial_temporal_peft_medium_t5_offline_seed0_main_stable_e5,
youtube_vis_yolo_temporal_spatial_only_full_ft_medium_t1_offline_seed1_main_stable_e5,yolo_temporal,spatial_only_full_ft,medium,T1_offline,1,,mAP50-95,mAP50,5,0.38337,0.49438,5,0.38337,0.49438,1465.15,outputs/runs/youtube_vis_yolo_temporal_spatial_only_full_ft_medium_t1_offline_seed1_main_stable_e5,
youtube_vis_yolo_temporal_spatial_temporal_peft_medium_t5_offline_seed1_main_stable_e5,yolo_temporal,spatial_temporal_peft,medium,T5_offline,1,,mAP50-95,mAP50,4,0.4135,0.51568,5,0.41251,0.51508,1556.42,outputs/runs/youtube_vis_yolo_temporal_spatial_temporal_peft_medium_t5_offline_seed1_main_stable_e5,
youtube_vis_rtdetr_temporal_spatial_only_full_ft_medium_t1_offline_seed1_main_stable_e5,rtdetr_temporal,spatial_only_full_ft,medium,T1_offline,1,,AP,AP50,2,0.34299140183311166,0.42451820622794223,4,0.32297611904037954,0.38780687016011056,,outputs/runs/youtube_vis_rtdetr_temporal_spatial_only_full_ft_medium_t1_offline_seed1_main_stable_e5,
youtube_vis_rtdetr_temporal_spatial_temporal_peft_medium_t5_offline_seed1_main_stable_e5,rtdetr_temporal,spatial_temporal_peft,medium,T5_offline,1,,AP,AP50,3,0.3399353231080835,0.42271819563180224,4,0.2828741240620594,0.36185514657804124,,outputs/runs/youtube_vis_rtdetr_temporal_spatial_temporal_peft_medium_t5_offline_seed1_main_stable_e5,
youtube_vis_yolo_temporal_spatial_only_full_ft_medium_t1_offline_seed2_main_stable_e5,yolo_temporal,spatial_only_full_ft,medium,T1_offline,2,,mAP50-95,mAP50,5,0.3913,0.50551,5,0.3913,0.50551,1389.9,outputs/runs/youtube_vis_yolo_temporal_spatial_only_full_ft_medium_t1_offline_seed2_main_stable_e5,
youtube_vis_yolo_temporal_spatial_temporal_peft_medium_t5_offline_seed2_main_stable_e5,yolo_temporal,spatial_temporal_peft,medium,T5_offline,2,,mAP50-95,mAP50,4,0.38383,0.47736,5,0.38351,0.4772,1494.21,outputs/runs/youtube_vis_yolo_temporal_spatial_temporal_peft_medium_t5_offline_seed2_main_stable_e5,
youtube_vis_rtdetr_temporal_spatial_only_full_ft_medium_t1_offline_seed2_main_stable_e5,rtdetr_temporal,spatial_only_full_ft,medium,T1_offline,2,,AP,AP50,1,0.3504103110132865,0.43443478723658435,4,0.32810208633962984,0.39331196078839303,,outputs/runs/youtube_vis_rtdetr_temporal_spatial_only_full_ft_medium_t1_offline_seed2_main_stable_e5,
youtube_vis_rtdetr_temporal_spatial_temporal_peft_medium_t5_offline_seed2_main_stable_e5,rtdetr_temporal,spatial_temporal_peft,medium,T5_offline,2,,AP,AP50,0,0.34695044843840533,0.42905579807312677,4,0.26015170551627664,0.3249981117246775,,outputs/runs/youtube_vis_rtdetr_temporal_spatial_temporal_peft_medium_t5_offline_seed2_main_stable_e5,
